St,Spy,Spx,Sny,Snx,Et,Epy,Epx,Eny,Enx,Supply Vent Facing Direction,Exhaust Vent Facing Direction,Supply Vent Flow Speed,Exhaust Vent Flow Speed,x Distance Between Vents,y Distance Between Vents,Vertical Distance Between Vents,Wind Speed,Fire Size,Wind Angle,Vis,EC,Recirculation
0,0,1,0,0,0,0,0,1,0,Px,Ny,6.9,-5.7,2.5,7,-1,-1.4,4.9,262.327828,3.189587109,0.976900034,1
0,0,0,0,1,0,0,1,0,0,Nx,Px,9.3,-8.5,4.5,7.5,2,-3.2,15.3,224.6498448,30,0.018151424,0
0,0,0,1,0,0,0,0,1,0,Ny,Ny,7.2,-7.9,6,6.5,-3.5,-1.4,12.9,219.1430484,18.10127426,0.192123915,1
0,1,0,0,0,0,0,0,1,0,Py,Ny,8.2,-5.2,4.5,7.5,5,-3.4,7.3,239.4496328,28.97391699,0.06835949,1
0,0,1,0,0,0,0,1,0,0,Px,Px,9.8,-7.2,7,7,-4.5,-2.8,10.9,217.7682908,25.70012978,0.103253522,1
0,1,0,0,0,0,0,0,0,1,Py,Nx,8.1,-4.8,6.5,8,2,-1.9,10.9,234.18588,18.38783307,0.216003789,1
0,0,1,0,0,0,0,0,1,0,Px,Ny,7.3,-9.5,0.5,5.5,3.5,-3,3.1,258.8785587,29.35071708,0.059179659,0
1,0,0,0,0,0,0,1,0,0,Top,Px,-0.8,-6.3,3,6,0,-3.4,14.5,234.5202342,30,1.89864E-19,0
1,0,0,0,0,0,1,0,0,0,Top,Py,-3,-6.7,1.5,5.5,1.5,-1.4,2,262.5186882,30,6.36929E-21,0
0,1,0,0,0,0,0,0,0,1,Py,Nx,5.7,-9,5,7,-4.5,-1.2,14.8,243.1407669,18.51866084,0.193641251,1
1,0,0,0,0,1,0,0,0,0,Top,Top,-0.6,-5.9,2,7.5,-3.5,-1.4,5.1,257.4555998,30,3.74395E-30,0
0,0,0,0,1,0,0,1,0,0,Nx,Px,8.4,-7.3,6,6,1,-2.8,10.5,210.1292724,30,0.038207796,0
0,0,1,0,0,0,0,1,0,0,Px,Px,6.4,-9.1,4,7,0.5,-1.7,12.6,235.4008654,28.50398774,0.074057376,1
1,0,0,0,0,0,0,1,0,0,Top,Px,-4,-5.6,3,7.5,1,-2.5,15.4,255.8802997,30,1.0056E-22,0
0,0,1,0,0,1,0,0,0,0,Px,Top,6.3,-2.7,1.5,5.5,1.5,-1.4,11,244.302875,29.99933267,0.024525817,0
1,0,0,0,0,0,0,0,0,1,Top,Nx,-1.1,-8.8,3.5,6.5,-3,-1.3,2.2,251.316646,30,7.855E-34,0
0,1,0,0,0,0,0,0,0,1,Py,Nx,5.6,-7.4,4.5,7,-3.5,-2.5,15.3,244.3424155,21.50618897,0.15476308,1
1,0,0,0,0,0,1,0,0,0,Top,Py,-4.8,-5.6,3,5.5,1,-2,14.8,241.822175,30,1.87805E-21,0
0,0,1,0,0,1,0,0,0,0,Px,Top,6,-0.8,5,5.5,-1.5,-1.1,4.2,217.1950113,20.55525752,0.181373884,1
0,0,1,0,0,1,0,0,0,0,Px,Top,7.6,-5.8,2.5,7,4.5,-1,4.2,252.7090206,30,0.004404652,0
0,0,1,0,0,0,0,1,0,0,Px,Px,9.2,-6.5,6,6.5,3.5,-2.8,11,229.0658222,29.30881493,0.072714689,0
0,0,0,0,1,0,1,0,0,0,Nx,Py,8.8,-9.3,0.5,6.5,4.5,-2.1,13.2,259.2110717,26.20263674,0.08614413,1
